Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
94,Malzahar,Middle,54.06%,6.13%,3.19%,7.51,5.23,5.49,7.42,9,20061,16044,1136,190.5,1.99,8.38,11864,5,3
95,Maokai,Jungle,50.94%,1.10%,0.51%,5.76,3.63,4.93,10.74,5,13366,36044,15574,41.2,4.85,59.94,10282,27,10
96,Maokai,Top,51.96%,5.52%,0.51%,4.52,3.29,4.53,8.94,5,16281,33242,11935,154.8,0.69,1.19,10374,10,2
97,Master Yi,Jungle,48.96%,5.94%,0.54%,5.77,8.16,6.79,4.55,15,16571,28095,8966,61.1,9.21,77.55,12392,20,0
98,Miss Fortune,ADC,54.86%,14.95%,3.02%,6.14,7.77,5.91,7.83,14,23169,18221,2849,188.5,1.47,5.25,12803,2,0
99,Miss Fortune,Support,45.34%,4.27%,3.02%,6.30,3.99,6.76,10.27,10,18260,17053,1369,48.6,0.50,0.97,10659,20,7
100,Mordekaiser,Top,48.36%,0.83%,0.03%,6.14,4.99,6.47,5.49,7,19753,18414,10666,175.2,2.00,3.60,11324,54,3
101,Morgana,Jungle,49.26%,1.76%,1.19%,21.32,4.91,5.38,10.86,8,17483,27226,11485,51.7,5.54,65.72,11066,13,0
102,Morgana,Middle,54.83%,3.20%,1.19%,8.04,5.23,4.75,9.47,7,20395,20159,5923,165.9,1.40,5.75,11370,8,11
103,Morgana,Support,50.16%,6.91%,1.19%,5.62,2.84,5.80,13.61,6,13586,18118,4231,30.6,0.34,0.73,10150,7,9
104,Nami,Support,53.66%,8.57%,0.08%,8.85,1.99,4.99,15.08,6,9270,15301,12081,14.1,0.09,0.12,9434,2,1
105,Nasus,Top,52.24%,5.83%,0.37%,3.98,4.93,5.17,5.20,7,17823,32317,1158,186.7,1.75,2.96,11821,6,11
106,Nautilus,Support,51.46%,1.68%,0.03%,6.62,2.29,5.55,12.58,5,9815,21334,3964,47.9,0.15,0.43,9286,30,0
107,Nautilus,Top,49.20%,0.66%,0.03%,5.48,3.55,4.86,8.72,6,14819,23620,2073,157.1,0.61,1.41,10494,49,0
108,Nidalee,Jungle,48.68%,3.97%,0.13%,5.31,6.93,5.70,7.13,8,16131,26966,14180,37.7,11.40,76.13,11413,26,1
