Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
63,Jarvan IV,Jungle,53.88%,11.03%,1.18%,5.51,6.79,5.67,10.84,11,14600,26586,7815,43.4,7.35,66.44,11475,4,1
,,,,,,,,,,,,,,,,,,,
64,Jarvan IV,Top,52.42%,2.38%,1.18%,6.39,6.21,5.81,8.77,10,16901,24274,2850,165.2,1.96,3.5,11576,7,3
,,,,,,,,,,,,,,,,,,,
65,Jax,Jungle,53.07%,3.53%,0.51%,7.18,7.18,5.86,5.85,9,14820,26919,8877,51.3,8.9,71.16,11834,14,4
,,,,,,,,,,,,,,,,,,,
66,Jax,Top,50.09%,4.74%,0.51%,6.05,6.11,6.22,4.36,10,16222,24714,3500,168.8,3.11,4.74,11593,34,0
,,,,,,,,,,,,,,,,,,,
67,Jayce,Middle,51.98%,1.78%,1.04%,9.53,8.25,5.98,6.5,9,22145,20519,2813,167.6,2.54,9.54,12102,7,3
,,,,,,,,,,,,,,,,,,,
68,Jayce,Top,52.31%,5.29%,1.04%,7.29,6.91,5.91,6.06,10,21055,20936,2658,176.9,2.2,4.19,11866,6,1
,,,,,,,,,,,,,,,,,,,
69,Jhin,ADC,49.07%,19.01%,0.19%,9.36,7.61,6.06,8.53,11,21079,17053,3048,180.8,1.5,5.8,12597,7,4
,,,,,,,,,,,,,,,,,,,
70,Jinx,ADC,50.25%,6.97%,0.04%,6.07,7.48,6.54,7.35,10,19758,18268,2981,189.1,2.33,8.62,12846,13,1
,,,,,,,,,,,,,,,,,,,
71,Kalista,ADC,48.06%,4.51%,0.30%,4.86,8.03,6.64,6.46,11,18421,20525,3813,183.9,2.67,8.5,12618,16,1
,,,,,,,,,,,,,,,,,,,
72,Karma,Middle,51.20%,1.17%,0.25%,10.4,4.77,5.25,9.3,8,18019,16677,2516,149.9,1.1,5.48,10647,37,2
,,,,,,,,,,,,,,,,,,,
73,Karma,Support,48.75%,7.94%,0.25%,6.98,2.74,5.85,13.18,8,12642,15943,2599,28.6,0.32,0.53,9693,21,5
,,,,,,,,,,,,,,,,,,,
